SCO-spondine	citrullinés=0.6346395015716553,SASPase=0.6291787028312683,FLG2=0.6170089840888977,tropomyosine=0.6165744066238403,déconne=0.6145808696746826,Rv0636=0.6140934824943542,d'épitopes=0.6134048104286194,chimère=0.6129925847053528,l'IRES=0.6114437580108643,profilaggrine=0.6111716032028198
Gyroptère	B29L=0.8826776742935181,B66B=0.8798514008522034,B21B=0.8780998587608337,-CH2CH20CH3=0.8746151924133301,6/E110,=0.8726412057876587,5-Dispositif,=0.8726023435592651,ENTRAINE=0.8722158074378967,g-mol-1=0.8709238767623901,(Supplement)=0.8703870177268982,N,3-diméthyl-3-azabicyclo[3=0.8699537515640259
Unit	Processing=0.8405813574790955,Central=0.8392574787139893,Unit)=0.8356133103370667,(Central=0.824895977973938,Unit"),=0.7948212027549744,"Central=0.7922562956809998,Unit")=0.784445583820343,Unit),=0.7827106714248657,"CPU"=0.748833417892456,unit)=0.7468022704124451
CCM	90-10=0.8076629042625427,(CH2C12/MeOH=0.800123929977417,[éluant=0.7728061676025391,(cyclohexane=0.7725101113319397,chromatoflash=0.7640058994293213,d'éthyle:=0.7597451210021973,dichlorométhane/méthanol=0.75871741771698,6/4)=0.7560423612594604,(éluant=0.7546892166137695,flash-chromatographie=0.7540860176086426
UPR	Theileria=0.6849613785743713,pro-inflammatoire,=0.6582953333854675,d'IFN-gamma=0.6556347608566284,IL-4,=0.6475661993026733,VIH)=0.6468784213066101,repression=0.6461304426193237,Entamoeba=0.6441599726676941,IL6=0.642131507396698,l'IFNa,=0.6419382095336914,BALB/c,=0.6418472528457642
R:\34100\34149\forfihuig\34149	67131505--100409=0.6410166621208191,R:131500A31505=0.6176364421844482,vocaliser=0.5979083776473999,SAFT=0.5892295837402344,texte"=0.5755811333656311,DOCLEUNIKD=0.5360814929008484,F:\Salle\FP000239\PREMDEP\TEXTE\dernier=0.5315726399421692,Lisez=0.5313816070556641,IN="DE"/=0.5286999940872192,PKP\32266--101105=0.5285671949386597
l'infundibulum	choroïde=0.6963917016983032,bulbaire=0.6894351243972778,richement=0.6797826290130615,vasculaire)=0.6744625568389893,nécrotique=0.6685713529586792,dermique=0.6678281426429749,épidermique=0.6615396738052368,surrénales=0.6611040830612183,infiltrat=0.6600574851036072,plexus=0.6519315838813782
Ventricular	Hydrogen=0.7452397346496582,Eye=0.7376518845558167,Assessment=0.7341280579566956,rules=0.728509783744812,Behavior=0.7271329760551453,Volker=0.7255915403366089,Edition)=0.7221415042877197,Trees=0.7216458320617676,Analysis"=0.7208881974220276,Measurements=0.7202386856079102
cumule	combine=0.8485568761825562,confronte=0.7966418862342834,limitera=0.7871803045272827,résume=0.7809428572654724,rassemble=0.7752365469932556,retrouvera=0.7747659087181091,fixera=0.7688413262367249,réunit=0.7652539014816284,rajoute=0.7622551918029785,transpose=0.755673885345459
indétermination,	Hj),=0.7218678593635559,8/27=0.7098926305770874,PEDALIER=0.709484338760376,Silybum;=0.7089511752128601,5/42=0.7088852524757385,17/21=0.706541121006012,ENTRAINE=0.7055099606513977,chéloïde=0.7043398022651672,3929990,=0.7039605379104614,L'ESTIMATION=0.7036477327346802
